rank,player,points,tournaments
1,Jannik Sinner,13450,24
2,Carlos Alcaraz,9460,23
3,Alexander Zverev,7190,29
4,Felix Auger-Aliassime,4390,25
5,Ben Shelton,4160,23
6,Alex de Minaur,4110,27
7,Taylor Fritz,3765,28
8,Novak Djokovic,3760,39
9,Daniil Medvedev,3580,30
10,Flavio Cobolli,3460,24
11,Alexander Bublik,2620,29
12,Casper Ruud,2425,27
13,Andrey Rublev,2420,28
14,Jiri Lehecka,2360,24
15,Lorenzo Musetti,2325,24
16,Luciano Darderi,2300,24
17,Learner Tien,2270,20
18,Jakub Mensik,2255,20
19,Frances Tiafoe,2180,28
20,Valentin Vacherot,2138,27
21,Francisco Cerundolo,2110,27
22,Karen Khachanov,2080,30
23,Alejandro Davidovich Fokina,2060,27
24,Arthur Fils,1940,22
25,Tommy Paul,1925,29
26,Rafael Jodar,1839,19
27,Joao Fonseca,1710,19
28,Arthur Rinderknech,1683,30
29,Cameron Norrie,1595,30
30,Ugo Humbert,1575,28
31,Brandon Nakashima,1485,24
32,Tomas Martin Etcheverry,1460,26
33,Alejandro Tabilo,1428,29
34,Ignacio Buse,1375,22
35,Matteo Arnaldi,1349,25
36,Alexander Blockx,1275,21
37,Zizou Bergs,1250,27
38,Mariano Navone,1165,25
39,Corentin Moutet,1163,27
40,Adrian Mannarino,1139,38
41,Denis Shapovalov,1130,27
42,Juan Manuel Cerundolo,1108,24
43,Raphael Collignon,1091,24
44,Jaume Munar,1075,29
45,Kamil Majchrzak,1032,30
46,Alex Michelsen,1025,21
47,Ethan Quinn,1021,22
48,Nuno Borges,1020,29
49,Tomas Machac,1020,25
50,Miomir Kecmanovic,1020,26
51,Matteo Berrettini,985,30
52,Terence Atmane,982,24
53,Fabian Marozsan,970,26
54,Botic Van De Zandschulp,969,30
55,Thiago Agustin Tirante,961,25
56,Yannick Hanfmann,949,34
57,Sebastian Baez,935,25
58,Tallon Griekspoor,935,29
59,Camilo Ugo Carabelli,930,27
60,Martin Landaluce,926,20
61,Daniel Altmaier,924,27
62,Marin Cilic,911,37
63,Sebastian Korda,900,25
64,Vit Kopriva,893,29
65,Roman Andres Burruchaga,875,24
66,Zachary Svajda,855,23
67,Mattia Bellucci,851,25
68,Hamad Medjedovic,844,22
69,Lorenzo Sonego,843,31
70,Aleksandar Kovacevic,837,27
71,Pablo Carreno Busta,834,34
72,Adolfo Daniel Vallejo,828,22
73,Jesper de Jong,808,26
74,Jan-Lennard Struff,804,36
75,Valentin Royer,798,25
76,Marton Fucsovics,781,34
77,Holger Rune,760,23
78,Arthur Cazaux,757,23
79,James Duckworth,748,34
80,Luca Van Assche,735,22
81,Jenson Brooksby,720,25
82,Rinky Hijikata,717,25
83,Giovanni Mpetshi Perricard,710,22
84,Daniel Merida,706,21
85,Adam Walton,704,27
86,Emilio Nava,704,24
87,Stefanos Tsitsipas,700,27
88,Gabriel Diallo,695,24
89,Dino Prizmic,691,20
90,Sho Shimabukuro,691,28
91,Francisco Comesana,688,25
92,Marcos Giron,680,32
93,Benjamin Bonzi,673,30
94,Marco Trungelliti,670,36
95,Quentin Halys,666,29
96,Hubert Hurkacz,665,29
97,Eliot Spizzirri,662,24
98,Jaime Faria,660,22
99,Aleksandr Shevchenko,658,25
100,Jan Choinski,657,30
101,Alex Molcan,639,28
102,Wu Yibing,634,26
103,Alexei Popyrin,630,26
104,Aleksandar Vukic,614,30
105,Damir Dzumhur,604,34
106,Martin Damm,603,22
107,Bu Yunchaokete,598,24
108,Chak Lam Coleman Wong,584,22
109,Stan Wawrinka,563,41
110,Sebastian Ofner,557,30
111,Nikoloz Basilashvili,554,34
112,Dalibor Svrcina,550,23
113,Patrick Kypson,548,26
114,Arthur Fery,547,23
115,Reilly Opelka,546,28
116,Titouan Droguet,534,25
117,Leandro Riedi,533,24
118,Hugo Gaston,533,25
119,Pablo Llamas Ruiz,525,23
120,Facundo Diaz Acosta,525,25
121,Nicolai Budkov Kjaer,522,19
122,Henrique Rocha,519,22
123,Toby Samuel,515,23
124,Christopher O'Connell,505,32
125,Cristian Garin,504,30
126,Alexandre Muller,494,29
127,Dane Sweeny,493,25
128,Francesco Maestrelli,480,23
129,Vilius Gaubas,474,21
130,Stefano Travaglia,464,34
131,Jack Draper,460,24
132,Roman Safiullin,458,28
133,Andrea Pellegrino,457,29
134,Pedro Martinez,451,29
135,Nishesh Basavareddy,446,21
136,Arthur Gea,445,21
137,Tomas Barrios Vera,442,28
138,Jack Pinnington Jones,434,23
139,Kyrian Jacquet,433,25
140,Otto Virtanen,432,25
141,Gustavo Heide,430,24
142,Jurij Rodionov,426,27
143,August Holmgren,423,28
144,Michael Zheng,410,22
145,Mackenzie McDonald,409,31
146,Grigor Dimitrov,407,35
147,Elmer Moller,406,22
148,Stefanos Sakellaridis,404,21
149,Tristan Schoolkate,403,25
150,Rei Sakamoto,403,20
