Week,Tournament,Champions,Runners-up,Semifinalists,Quarterfinalists,category,prize_money
30 Dec,"Hong Kong Open Hong Kong SAR ATP 250 Hard – $766,290 – 28S/16Q/16D Singles – Doubles","Alexandre Müller 2–6, 6–1, 6–3",Kei Nishikori,Shang Juncheng Jaume Munar,Fábián Marozsán Cameron Norrie Arthur Fils Lorenzo Musetti,ATP 250,"$766,290"
30 Dec,"Hong Kong Open Hong Kong SAR ATP 250 Hard – $766,290 – 28S/16Q/16D Singles – Doubles","Sander Arends  Luke Johnson  7–5, 4–6, [10–7]",Karen Khachanov  Andrey Rublev,Shang Juncheng Jaume Munar,Fábián Marozsán Cameron Norrie Arthur Fils Lorenzo Musetti,ATP 250,"$766,290"
30 Dec,"Brisbane International Brisbane, Australia ATP 250 Hard – $680,140 – 32S/24Q/24D Singles – Doubles",Jiří Lehečka 4–1 ret.,Reilly Opelka,Giovanni Mpetshi Perricard Grigor Dimitrov,Novak Djokovic Jakub Menšík Nicolás Jarry Jordan Thompson,ATP 250,"$680,140"
30 Dec,"Brisbane International Brisbane, Australia ATP 250 Hard – $680,140 – 32S/24Q/24D Singles – Doubles","Julian Cash  Lloyd Glasspool  6–3, 6–7(2–7), [10–6]",Jiří Lehečka  Jakub Menšík,Giovanni Mpetshi Perricard Grigor Dimitrov,Novak Djokovic Jakub Menšík Nicolás Jarry Jordan Thompson,ATP 250,"$680,140"
6 Jan,"Adelaide International Adelaide, Australia ATP 250 Hard – $766,290 – 28S/16Q/24D Singles – Doubles","Félix Auger-Aliassime 6–3, 3–6, 6–1",Sebastian Korda,Tommy Paul Miomir Kecmanović,Rinky Hijikata Marcos Giron Benjamin Bonzi Thanasi Kokkinakis,ATP 250,"$766,290"
6 Jan,"Adelaide International Adelaide, Australia ATP 250 Hard – $766,290 – 28S/16Q/24D Singles – Doubles","Simone Bolelli Andrea Vavassori 4–6, 7–6(7–4), [11–9]",Kevin Krawietz Tim Pütz,Tommy Paul Miomir Kecmanović,Rinky Hijikata Marcos Giron Benjamin Bonzi Thanasi Kokkinakis,ATP 250,"$766,290"
6 Jan,"Auckland Open Auckland, New Zealand ATP 250 Hard – $766,290 – 28S/16Q/16D  Singles – Doubles","Gaël Monfils 6–3, 6–4",Zizou Bergs,Nuno Borges Nishesh Basavareddy,Jakub Menšík Roberto Carballés Baena Facundo Díaz Acosta Alex Michelsen,ATP 250,"$766,290"
6 Jan,"Auckland Open Auckland, New Zealand ATP 250 Hard – $766,290 – 28S/16Q/16D  Singles – Doubles",Nikola Mektić  Michael Venus  Walkover,Christian Harrison  Rajeev Ram,Nuno Borges Nishesh Basavareddy,Jakub Menšík Roberto Carballés Baena Facundo Díaz Acosta Alex Michelsen,ATP 250,"$766,290"
13 Jan 20 Jan,"Australian Open Melbourne, Australia Grand Slam Hard – A$43,250,000 128S/128Q/64D/32X Singles – Doubles – Mixed","Jannik Sinner 6–3, 7–6(7–4), 6–3",Alexander Zverev,Ben Shelton  Novak Djokovic,Alex de Minaur Lorenzo Sonego Carlos Alcaraz Tommy Paul,Grand Slam,"$43,250,000"
13 Jan 20 Jan,"Australian Open Melbourne, Australia Grand Slam Hard – A$43,250,000 128S/128Q/64D/32X Singles – Doubles – Mixed","Harri Heliövaara Henry Patten 6–7(16–18), 7–6(7–5), 6–3",Simone Bolelli Andrea Vavassori,Ben Shelton  Novak Djokovic,Alex de Minaur Lorenzo Sonego Carlos Alcaraz Tommy Paul,Grand Slam,"$43,250,000"
