rank,player,points,tournaments
1,Aryna Sabalenka,9090,28
2,Elena Rybakina,8143,27
3,Iga Swiatek,6409,25
4,Jessica Pegula,5881,32
5,Mirra Andreeva,5653,19
6,Amanda Anisimova,5523,24
7,Coco Gauff,4879,22
8,Elina Svitolina,4471,31
9,Karolina Muchova,3878,29
10,Victoria Mboko,3670,19
11,Belinda Bencic,3385,29
12,Linda Noskova,3359,21
13,Marta Kostyuk,3156,24
14,Naomi Osaka,2846,28
15,Diana Shnaider,2458,22
16,Iva Jovic,2436,18
17,Jasmine Paolini,2423,30
18,Sorana Cirstea,2415,36
19,Ekaterina Alexandrova,2411,31
20,Anna Kalinskaya,2240,27
21,Maja Chwalinska,1996,24
22,Madison Keys,1854,31
23,Marie Bouzkova,1849,27
24,Leylah Fernandez,1844,23
25,Clara Tauson,1804,23
26,Emma Navarro,1784,25
27,Elise Mertens,1758,30
28,Anastasia Potapova,1657,25
29,Ann Li,1625,26
30,Hailey Baptiste,1502,24
31,Jelena Ostapenko,1472,29
32,Alexandra Eala,1436,21
33,Emma Raducanu,1429,23
34,Donna Vekic,1386,30
35,Cristina Bucsa,1374,28
36,Katerina Siniakova,1338,30
37,Jaqueline Cristian,1324,28
38,Barbora Krejcikova,1320,30
39,Wang Xinyu,1276,24
40,Laura Siegemund,1272,38
41,Liudmila Samsonova,1270,27
42,Janice Tjen,1247,24
43,Maria Sakkari,1240,30
44,Magdalena Frech,1208,28
45,Sara Bejlek,1208,20
46,Elisabetta Cocciaretto,1192,25
47,Petra Marcinko,1184,20
48,Nikola Bartunkova,1140,20
49,Diane Parry,1139,23
50,Catherine McNally,1136,24
51,Zeynep Sonmez,1134,24
52,Jessica Bouzas Maneiro,1124,23
53,Oleksandra Oliynykova,1114,25
54,Tereza Valentova,1094,19
55,Yuliia Starodubtseva,1077,26
56,Solana Sierra,1067,22
57,McCartney Kessler,1065,26
58,Talia Gibson,1056,22
59,Magda Linette,1051,34
60,Katie Boulter,1047,29
61,Antonia Ruzic,1041,23
62,Viktorija Golubic,1028,33
63,Peyton Stearns,1017,24
64,Zhang Shuai,1015,37
65,Daria Kasatkina,1009,29
66,Anhelina Kalinina,1008,29
67,Dayana Yastremska,995,26
68,Camila Osorio,988,24
69,Panna Udvardy,970,27
70,Kamilla Rakhimova,966,24
71,Elena-Gabriela Ruse,941,28
72,Kimberly Birrell,939,28
73,Karolina Pliskova,936,34
74,Anna Bondar,936,29
75,Renata Zarazua,935,28
76,Eva Lys,931,24
77,Daria Snigur,928,24
78,Tamara Korpatsch,919,31
79,Taylor Townsend,911,30
80,Elsa Jacquemot,908,23
81,Alycia Parks,905,25
82,Lilli Tagger,866,18
83,Sonay Kartal,858,24
84,Yulia Putintseva,855,31
85,Anastasia Zakharova,849,24
86,Wang Xiyu,847,25
87,Maya Joint,847,20
88,Varvara Gracheva,844,25
89,Veronika Erjavec,841,26
90,Simona Waltert,836,25
91,Oksana Selekhmeteva,835,23
92,Darja Vidmanova,831,23
93,Sinja Kraus,818,24
94,Ajla Tomljanovic,815,33
95,Maria Timofeeva,810,22
96,Tatjana Maria,809,38
97,Emiliana Arango,808,25
98,Alina Korneeva,806,19
99,Lanlana Tararudee,799,21
100,Ella Seidel,797,21
101,Katie Volynets,793,24
102,Ashlyn Krueger,787,22
103,Hanne Vandewinkel,784,22
104,Darja Semenistaja,755,23
105,Sofia Kenin,734,27
106,Francesca Jones,718,25
107,Kaitlin Quevedo,718,20
108,Moyuka Uchijima,707,24
109,Mayar Sherif,706,30
110,Victoria Jimenez Kasintseva,698,20
111,Dalma Galfi,681,27
112,Lulu Sun,679,25
113,Polina Kudermetova,678,23
114,Anna Blinkova,675,27
115,Veronika Kudermetova,671,29
116,Julia Grabher,670,29
117,Taylah Preston,652,20
118,Alina Charaeva,636,24
119,Katarzyna Kawa,635,33
120,Marketa Vondrousova,633,27
121,Yuan Yue,629,27
122,Aliaksandra Sasnovich,626,32
123,Himeno Sakatsume,621,24
124,Jil Teichmann,619,28
125,Lucia Bronzetti,606,27
126,Dominika Salkova,597,22
127,Kaja Juvan,590,25
128,Anastasia Pavlyuchenkova,586,34
129,Suzan Lamens,585,26
130,Mary Stoiana,583,23
131,Tamara Zidansek,579,28
132,Leolia Jeanjean,577,30
133,Lisa Pigato,570,23
134,Beatriz Haddad Maia,567,30
135,Emerson Jones,567,17
136,Elvina Kalieva,563,22
137,Kayla Day,563,26
138,Zheng Qinwen,556,23
139,Rebecca Sramkova,554,29
140,Marina Stakusic,552,21
141,Paula Badosa,546,28
142,Zhu Lin,546,32
143,Leyre Romero Gormaz,535,24
144,Marina Bassols Ribera,532,26
145,Veronika Podrez,530,19
146,Claire Liu,526,26
147,Laura Samson,521,18
148,Lola Radivojevic,520,21
149,Maddison Inglis,516,28
150,Priscilla Hon,515,28
