Week,Tournament,Champions,Runners-up,Semifinalists,Quarterfinalists,category,prize_money
Dec 30,"Brisbane International Brisbane, Australia WTA 500 Hard – $1,520,600 – 48S/24Q/16D Singles – Doubles","Aryna Sabalenka 4–6, 6–3, 6–2",Polina Kudermetova,Mirra Andreeva  Anhelina Kalinina,Marie Bouzková  Ons Jabeur  Ashlyn Krueger  Kimberly Birrell,WTA 500,"$1,520,600"
Dec 30,"Brisbane International Brisbane, Australia WTA 500 Hard – $1,520,600 – 48S/24Q/16D Singles – Doubles","Mirra Andreeva  Diana Shnaider 7–6(8–6), 7–5",Priscilla Hon  Anna Kalinskaya,Mirra Andreeva  Anhelina Kalinina,Marie Bouzková  Ons Jabeur  Ashlyn Krueger  Kimberly Birrell,WTA 500,"$1,520,600"
Dec 30,"Auckland Open Auckland, New Zealand WTA 250 Hard – $275,094 – 32S/24Q/16D Singles – Doubles","Clara Tauson 4–6, 0–0, ret.",Naomi Osaka,Robin Montgomery  Alycia Parks,Madison Keys  Bernarda Pera  Katie Volynets  Hailey Baptiste,WTA 250,"$275,094"
Dec 30,"Auckland Open Auckland, New Zealand WTA 250 Hard – $275,094 – 32S/24Q/16D Singles – Doubles","Jiang Xinyu  Wu Fang-hsien 6–3, 6–4",Aleksandra Krunić  Sabrina Santamaria,Robin Montgomery  Alycia Parks,Madison Keys  Bernarda Pera  Katie Volynets  Hailey Baptiste,WTA 250,"$275,094"
Jan 6,"Adelaide International Adelaide, Australia WTA 500 Hard – $1,064,510 – 30S/24Q/16D Singles – Doubles","Madison Keys 6–3, 4–6, 6–1",Jessica Pegula,Yulia Putintseva  Liudmila Samsonova,Ashlyn Krueger  Diana Shnaider  Daria Kasatkina  Emma Navarro,WTA 500,"$1,064,510"
Jan 6,"Adelaide International Adelaide, Australia WTA 500 Hard – $1,064,510 – 30S/24Q/16D Singles – Doubles","Guo Hanyu  Alexandra Panova 7–5, 6–4",Beatriz Haddad Maia  Laura Siegemund,Yulia Putintseva  Liudmila Samsonova,Ashlyn Krueger  Diana Shnaider  Daria Kasatkina  Emma Navarro,WTA 500,"$1,064,510"
Jan 6,"Hobart International Hobart, Australia WTA 250 Hard – $275,094 – 32S/24Q/16D Singles – Doubles","McCartney Kessler 6–4, 3–6, 6–0",Elise Mertens,Elina Avanesyan  Maya Joint,Dayana Yastremska  Amanda Anisimova  Sofia Kenin  Veronika Kudermetova,WTA 250,"$275,094"
Jan 6,"Hobart International Hobart, Australia WTA 250 Hard – $275,094 – 32S/24Q/16D Singles – Doubles","Jiang Xinyu  Wu Fang-hsien 6–1, 7–6(8–6)",Monica Niculescu  Fanny Stollár,Elina Avanesyan  Maya Joint,Dayana Yastremska  Amanda Anisimova  Sofia Kenin  Veronika Kudermetova,WTA 250,"$275,094"
13 Jan 20 Jan,"Australian Open Melbourne, Australia Grand Slam Hard – A$43,250,000 128S/128Q/64D/32X Singles – Doubles – Mixed","Madison Keys 6–3, 2–6, 7–5",Aryna Sabalenka,Paula Badosa  Iga Świątek,Anastasia Pavlyuchenkova  Coco Gauff  Elina Svitolina  Emma Navarro,Grand Slam,"$43,250,000"
13 Jan 20 Jan,"Australian Open Melbourne, Australia Grand Slam Hard – A$43,250,000 128S/128Q/64D/32X Singles – Doubles – Mixed","Kateřina Siniaková  Taylor Townsend 6–2, 6–7(4–7), 6–3",Hsieh Su-wei  Jeļena Ostapenko,Paula Badosa  Iga Świątek,Anastasia Pavlyuchenkova  Coco Gauff  Elina Svitolina  Emma Navarro,Grand Slam,"$43,250,000"
